구분,과정구분,대계열,대계열코드,중계열,중계열코드,소계열,소계열코드,학과명,학과코드
가,전문대학과정,인문계열,1,언어ㆍ문학,101,일본어,10101,관광비즈니스일어학과,C01010100051
가,전문대학과정,인문계열,1,언어ㆍ문학,101,중국어,10102,글로벌중국어과,C01010200061
가,전문대학과정,인문계열,1,인문과학,102,문화,10202,민족문화학과,C01020200035
가,전문대학과정,인문계열,1,인문과학,102,문화,10202,여가문화컨텐츠과,C01020200036
가,전문대학과정,인문계열,1,인문과학,102,인문일반,10203,기초교양과,C01020300044
가,전문대학과정,인문계열,1,인문과학,102,인문일반,10203,창의융합계열,C01020300045
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,경영회계실무과,C02010100658
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,서비스컨설팅과,C02010100659
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,IT경영학과,C02010100660
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,경영유통과,C02010100661
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,스마트경영학부,C02010100662
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,병원의료경영과,C02010100663
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,산업경영학부,C02010100664
가,전문대학과정,사회계열,2,경영ㆍ경제,201,경영ㆍ경제,20101,휴먼케어학부,C02010100665
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,국제관광조리계열,C02010200249
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,호텔관광・항공계열,C02010200250
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,글로벌관광과,C02010200251
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,관광비즈니스과(관광마케팅전공),C02010200252
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,관광비즈니스과(관광서비스전공),C02010200253
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,호텔항공서비스과,C02010200254
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,카지노 & Surveillance과,C02010200255
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,호텔크루즈서비스학과,C02010200256
가,전문대학과정,사회계열,2,경영ㆍ경제,201,관광,20102,호텔크루즈서비스학부,C02010200257
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,금융비즈니스과,C02010300119
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,금융회계경영과,C02010300120
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,유통경영과(금융경영전공),C02010300121
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,경영세무정보학부,C02010300122
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,세무회계부동산과,C02010300123
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,회계경영과,C02010300124
가,전문대학과정,사회계열,2,경영ㆍ경제,201,금융·회계·세무,20103,세무회계경영과,C02010300125
가,전문대학과정,사회계열,2,경영ㆍ경제,201,무역·유통,20104,유통경영과(유통물류전공),C02010400102
가,전문대학과정,사회계열,2,법률,202,법,20201,자산법률학과,C02020100016
가,전문대학과정,사회계열,2,사회과학,203,가족ㆍ사회ㆍ복지,20301,의료복지학과,C02030100257
가,전문대학과정,사회계열,2,사회과학,203,가족ㆍ사회ㆍ복지,20301,노인케어창업과,C02030100258
가,전문대학과정,사회계열,2,사회과학,203,가족ㆍ사회ㆍ복지,20301,사회복지학과(1년제),C02030100259
가,전문대학과정,사회계열,2,사회과학,203,가족ㆍ사회ㆍ복지,20301,아동미술상담보육과,C02030100260
가,전문대학과정,사회계열,2,사회과학,203,가족ㆍ사회ㆍ복지,20301,실용사회복지과,C02030100261
가,전문대학과정,사회계열,2,사회과학,203,가족ㆍ사회ㆍ복지,20301,아동보육청소년과,C02030100262
